Pekerjaan,Skill
,
Programmer,"Coding skills, Problem solving, Kolaborasi, Komunikasi, Adaptabilitas Teknologi, Pembelajaran Berkelanjutan"
Web Designer ,"Dasar-dasar desain, HTML, CSS, JavaScript"
Guru/Pendidik/Konselor/Mentor,"Penguasaan Materi, Keterampilan Pedagogik, Adaptif, Kemampuan Komunikasi, Public Speaking, Refleksi, Pengembangan Diri, Pengajaran, Perencanaan Pelajaran, Evaluasi Murid, Pendidikan Anak Usia Dini, Teknologi Pembelajaran, Manajemen Kelas"
Insinyur Arsitektur,"Teamwork,  Pengelolaan Proyek, Teknik Arsitektur, Desain Struktural, Pemodelan 3D (Tiga Dimensi) , Keterampilan Presentasi, Manajemen Proyek, Pengetahuan Kode Bangunan"
Nelayan,"Teknik menangkap ikan, Keterampilan Mekanik Kapal, Manajemen waktu"
Perawat,"Pola Keperawatan, Kemampuan Komunikasi, Public Speaking, Critical Thinking, Asuhan Pasien, Pengelolaan Stres, Keterampilan Klinis, Penyuluhan Kesehatan, Kolaborasi Tim"
Dokter,"Leadership,  Empati, Manajemen Stres , Etos kerja, Ilmu Biomedik , Keterampilan Klinis, Komunikasi Pasien, Penyuluhan Kesehatan, Diagnosis Penyakit, Manajemen Pasien, Keterampilan Bedah"
Bidan,"Ilmu Humaniora, Perawatan Prenatal , Ilmu Kehamilan, Ilmu Persalinan, Kemampuan Komunikasi"
Pemadam Kebakaran,"Ilmu Geologis, Teamwork, Manajemen Waktu, Evakuasi, K3 (Keselamatan dan Kesehatan Kerja), Pencegahan, Penanggulangan "
Kondektur,"Customer Service, Kemampuan Komunikasi, Bahasa Asing, Pengetahuan Keselamatan Penumpang, Ilmu Transportasi, Ilmu Geografi, Studi Pariwisata"
Pilot,"Teknik Penerbangan, Keselamatan Penerbangan, Manajemen waktu penerbangan, Problem Solving, Multi-tasking"
Masinis,"Ilmu mesin, K3 (Keselamatan dan Kesehatan Kerja), Kemampuan Komunikasi, Konsentrasi, Ilmu Teknik"
Wartawan,"Teknik Jurnalistik, Kemampuan Komunikasi, Manajemen waktu, Editor Gambar Video, Investigasi, Story telling "
Insinyur Mesin,"Software, Dasar ilmu komputer, Teamwork, Kemampuan Komunikasi, Desain Sirkuit,Pengukuran dan Kontrol, Elektronika Daya, Pemrograman Mikrokontroler, Teknik Daya"
Ahli Gizi,"HACCP ( Hazrad Analysis Contol Point), Critical Control Point, Critical Thinking, Organizational Skill, Instructional Skill, Food technology, Ilmu gizi, Dietetika, Ketangguhan, Kemampuan komunikasi, Bahasa Asing"
Pustakawan,"Analisis data, Kemampuan Komunikasi, Analisis Informasi, Literasi Digital, IT (Teknologi Informasi), Customer Service"
Hakim,"Ilmu Hukum, Critical Thinking, Public Speaking, Kemampuan Analisa, Kemampuan Komunikasi, Good Governance, Active Listening "
Notaris,"Ilmu Hukum, Prosedur Notaris, Keterampilan Negosiasi, Kemampuan Komunikasi, Administrasi, Literasi"
Teller Bank,"Kemampuan Komunikasi, Mengoperasikan Teknologi, Numerik, Manajemen Krisis, Customer Service, Multitasking, Problem Solving, Teamwork, Manajemen Proyek "
Penerjemah,"Berbahasa Asing, Pengetahuan Budaya, Kemampuan Komunikasi, Public Speaking, Mengoperasikan Komputer, Manajemen waktu, Fleksibilitas, Kreatif, Berpikir Cepat, Literasi "
Tentara,"Kepemimpinan, Taktis Strategis, Bela Diri, Kemampuan Fisik, Keterampilan Senjata, Taktik Tempur, Keterampilan Komunikasi, Teamwork, Medis Darurat Dasar, Teknologi Militer, Keterampilan Adaptasi "
Tukang Cukur,"Pemangkasan, Penataan, Teknik Mencukur, Metode Perawatan, Manajemen Waktu, Kemampuan Komunikasi, Kreativitas"
Petani,"Ilmu Pertanian, Ilmu Agroteknologi, Kemampuan Budidaya Pertanian, Jenis Penyakit Tumbuhan, Ilmu Mikrobiologi Pertanian, Agribisnis, Biologi, Kemampuan Komunikasi, Critical thinking, Administratif, Keterampilan Adaptif, Strategi Pemasaran"
Akuntan,"Analisis Data, Analisis Statistik, Kemampuan Teknis, Kemampuan menulis, kemampuan Komunikasi, Manajemen Waktu, Manajemen Bisnis, Manajemen Regulasi, Problem Solving, Critical Thinking, Teamwork, Akuntansi Dasar, Excel, Pelaporan Keuangan, Audit, Pajak, Analisis Keuangan, Industri Layanan, Kepemimpinan, Kemampuan Pembinaan, Faktur Penggajian, Logika Matematika "
Desainer,"Kemampuan Menggambar, Software Desain, Manajemen Waktu, Problem Solving, Kemampuan Komunikasi, Branding, Resolusi Konflik, Literasi, Desain UX, Skill Ideation, Metode Riset"
Satpam,"Ilmu Tongkat T, TURJAWALI (Pengaturan, Penjagaan, Pengawalan dan Patroli) , Jenis Bahan Peledak, Jenis Narkoba, Kemampuan Beladiri, K3 (Keselamatan dan Kesehatan Kerja), Kemampuan HT ( Handy Talkie) , TP-TKP (Tindakan Pertama), Kemampuan Komunikasi"
Peternak,"Ilmu Dasar Peternakan, Kemampuan Komunikasi, Critical Thinking, Literasi, Problem Solving, Ilmu Pengembangan Iptek, Teknik Pengelolaan Usaha, Produk Ternak "
Peneliti,"Keterampilan Meneliti, Keterampilan Pelaporan, Keterampilan Analisis Data, Ilmu Komputer, Manajemen Waktu, Problem Solving, Kemampuan Komunikasi, Public Speaking, Critical Thinking, Penelusuran Kepustakaan, Data Engineering, Riset, Kepemimpinan "
Nahkoda,"Ilmu Geografis, Navigasi, Peta Laut, Teknis Kapal, Pemahaman Cuaca, K3 (Keselamatan dan Kesehatan Kerja) , Manajemen Risiko, Kemampuan Komunikasi, Kepemimpinan, Manajemen Waktu, Pemahaman Hukum Maritim, Problem Solving"
Pengacara,"Kemampuan Pengacara, Hukum, Negosiasi, Persuasi, Berpikir Analitis, Kemampuan Analisis, Problem Solving, Kemampuan Komunikasi, Kemampuan Riset, Manajemen Waktu, Critical Thinking, Penelitian Hukum, Argumentasi, Penalaran Hukum, Advokasi"
Apoteker,"Kemampuan Komunikasi, Manajemen Waktu, Pemahaman Teknologi Kesehatan, Keterampilan Klinis, Problem Solving, Teamwork, Keterampilan Edukasi Pasien, Manajemen Proyek, Berpikir Analitis, Kimia Farmasi"
Polisi,"Ilmu Hukum, Kemampuan komunikasi, Kemampuan Analisis, Teamwork, Problem Solving, Keterampilan Teknis, Kriminologi Forensik, Critical Thinking"
Digital Marketing Specialist,"SEO (Search Engine Optimization), SEM (Search Engine Marketing), Manajemen Proyek, Literasi, Kreativitas, Problem Solving,  Analisis Pasar, Kemampuan Pemasaran Konten,  Pemasaran Digital, Media Sosial, Analisis Kampanye, Keterampilan Penulisan Konten"
